period,market_id,temperature_c,temperature_min_c,temperature_max_c,observation_days,interest_index,below_one_share,source_resolution,label,country_iso2,country_iso3,scope,trends_geo,weather_source,latitude,longitude,timezone,hemisphere,climate_profile,analysis_role,year,month,month_name,interest_zscore,interest_scaled,temperature_climatology_c,interest_climatology,temperature_anomaly_c,interest_anomaly
2021-01-01,delhi,13.812903225806451,8.587096774193547,20.080645161290324,31,19.161290322580644,0.0,week,Delhi · India,IN,IND,region,IN-DL,open_meteo,28.6139,77.2090,Asia/Kolkata,north,hot semi-arid and monsoonal,comparison,2021,1,Jan,-1.0716984483836627,0.025160599571734464,13.030967741935484,19.303225806451614,0.7819354838709671,-0.1419354838709701
2021-02-01,delhi,18.564285714285713,11.50357142857143,26.275,28,26.607142857142858,0.0,week,Delhi · India,IN,IND,region,IN-DL,open_meteo,28.6139,77.2090,Asia/Kolkata,north,hot semi-arid and monsoonal,comparison,2021,2,Feb,-0.5370418349403342,0.14872667482410523,17.470862068965516,26.011330049261083,1.0934236453201969,0.5958128078817744
2021-03-01,delhi,24.451612903225808,17.080645161290324,32.15806451612903,31,40.193548387096776,0.0,week,Delhi · India,IN,IND,region,IN-DL,open_meteo,28.6139,77.2090,Asia/Kolkata,north,hot semi-arid and monsoonal,comparison,2021,3,Mar,0.4385431012096229,0.3741970021413276,23.119354838709675,39.4,1.3322580645161324,0.7935483870967772
2021-04-01,delhi,28.756666666666668,20.15,36.81666666666667,30,40.833333333333336,0.0,week,Delhi · India,IN,IND,region,IN-DL,open_meteo,28.6139,77.2090,Asia/Kolkata,north,hot semi-arid and monsoonal,comparison,2021,4,Apr,0.48448347554541055,0.3848144182726624,29.116666666666667,50.42666666666666,-0.35999999999999943,-9.593333333333327
2021-05-01,delhi,29.848387096774193,23.870967741935484,36.07741935483871,31,39.29032258064516,0.0,week,Delhi · India,IN,IND,region,IN-DL,open_meteo,28.6139,77.2090,Asia/Kolkata,north,hot semi-arid and monsoonal,comparison,2021,5,May,0.3736861021473344,0.3592077087794432,31.530967741935484,56.45161290322581,-1.6825806451612912,-17.161290322580648
2021-06-01,delhi,32.31333333333333,27.243333333333332,37.53333333333333,30,46.2,0.0,week,Delhi · India,IN,IND,region,IN-DL,open_meteo,28.6139,77.2090,Asia/Kolkata,north,hot semi-arid and monsoonal,comparison,2021,6,Jun,0.8698421449738404,0.4738758029978587,32.76866666666667,54.633333333333326,-0.4553333333333356,-8.433333333333323
2021-07-01,delhi,31.206451612903223,28.11935483870968,34.935483870967744,31,39.0,0.0,week,Delhi · India,IN,IND,region,IN-DL,open_meteo,28.6139,77.2090,Asia/Kolkata,north,hot semi-arid and monsoonal,comparison,2021,7,Jul,0.3528392095915989,0.35438972162740895,29.776129032258062,39.064516129032256,1.4303225806451607,-0.06451612903225623
2021-08-01,delhi,29.293548387096777,26.27741935483871,33.0,31,31.225806451612904,0.0,week,Delhi · India,IN,IND,region,IN-DL,open_meteo,28.6139,77.2090,Asia/Kolkata,north,hot semi-arid and monsoonal,comparison,2021,8,Aug,-0.20539424662309702,0.22537473233404712,28.87161290322581,30.380645161290325,0.4219354838709677,0.8451612903225794
2021-09-01,delhi,27.493333333333332,24.81,31.026666666666664,30,29.133333333333333,0.0,week,Delhi · India,IN,IND,region,IN-DL,open_meteo,28.6139,77.2090,Asia/Kolkata,north,hot semi-arid and monsoonal,comparison,2021,9,Sep,-0.3556462944507317,0.19064953604568163,28.074,29.080000000000002,-0.5806666666666693,0.05333333333333101
2021-10-01,delhi,24.76774193548387,19.864516129032257,30.39032258064516,31,25.225806451612904,0.0,week,Delhi · India,IN,IND,region,IN-DL,open_meteo,28.6139,77.2090,Asia/Kolkata,north,hot semi-arid and monsoonal,comparison,2021,10,Oct,-0.636230026108298,0.12580299785867238,25.015483870967742,24.774193548387096,-0.24774193548387302,0.4516129032258078
2021-11-01,delhi,19.266666666666666,13.096666666666666,26.136666666666667,30,19.433333333333337,0.0,week,Delhi · India,IN,IND,region,IN-DL,open_meteo,28.6139,77.2090,Asia/Kolkata,north,hot semi-arid and monsoonal,comparison,2021,11,Nov,-1.0521641379518065,0.029675231977159242,20.228,19.98,-0.9613333333333358,-0.5466666666666633
