market_id,time,temperature_2m_mean,temperature_2m_min,temperature_2m_max
delhi,2021-01-01,11.4,3.6,19.1
delhi,2021-01-02,14.7,10.3,20.4
delhi,2021-01-03,17.0,13.3,22.1
delhi,2021-01-04,17.5,14.6,22.3
delhi,2021-01-05,18.2,15.3,22.8
delhi,2021-01-06,18.0,14.8,22.4
delhi,2021-01-07,15.5,11.0,19.6
delhi,2021-01-08,13.1,7.4,17.9
delhi,2021-01-09,15.5,11.0,21.2
delhi,2021-01-10,12.6,8.4,17.8
delhi,2021-01-11,11.7,6.8,18.2
delhi,2021-01-12,12.1,6.8,19.0
delhi,2021-01-13,11.7,5.9,19.0
delhi,2021-01-14,11.9,6.2,19.2
delhi,2021-01-15,12.9,7.7,20.1
delhi,2021-01-16,10.7,5.9,17.8
delhi,2021-01-17,11.5,5.2,19.0
delhi,2021-01-18,14.9,11.6,18.9
delhi,2021-01-19,15.9,11.4,22.1
delhi,2021-01-20,14.7,10.1,20.8
delhi,2021-01-21,14.6,9.6,21.6
delhi,2021-01-22,13.4,5.9,21.2
delhi,2021-01-23,15.0,9.6,21.6
delhi,2021-01-24,14.2,10.1,19.0
delhi,2021-01-25,13.0,7.3,19.0
delhi,2021-01-26,12.8,6.9,19.4
delhi,2021-01-27,12.8,6.8,20.2
delhi,2021-01-28,12.0,4.8,19.0
delhi,2021-01-29,12.5,6.2,19.8
delhi,2021-01-30,13.0,6.8,20.4
delhi,2021-01-31,13.4,4.9,21.6
delhi,2021-02-01,15.6,9.1,23.7
delhi,2021-02-02,15.6,7.3,24.3
delhi,2021-02-03,17.2,11.0,24.5
delhi,2021-02-04,15.3,11.2,21.8
delhi,2021-02-05,13.7,8.5,20.7
delhi,2021-02-06,14.6,8.9,21.1
delhi,2021-02-07,15.4,9.8,22.1
delhi,2021-02-08,15.9,8.5,23.7
delhi,2021-02-09,17.1,9.7,25.2
delhi,2021-02-10,18.2,11.4,26.1
delhi,2021-02-11,17.7,10.4,25.0
delhi,2021-02-12,17.3,11.3,24.1
delhi,2021-02-13,17.1,10.8,24.4
delhi,2021-02-14,18.0,11.6,25.8
delhi,2021-02-15,18.9,11.3,26.9
delhi,2021-02-16,19.5,12.1,27.6
delhi,2021-02-17,18.9,11.4,26.5
delhi,2021-02-18,19.0,12.1,26.4
delhi,2021-02-19,18.9,11.2,26.3
delhi,2021-02-20,19.0,12.1,26.4
delhi,2021-02-21,19.2,11.6,27.2
delhi,2021-02-22,20.4,12.9,28.6
delhi,2021-02-23,21.4,12.5,30.7
delhi,2021-02-24,22.7,12.8,31.4
delhi,2021-02-25,22.6,13.5,31.9
delhi,2021-02-26,23.5,14.9,32.0
delhi,2021-02-27,24.5,17.8,31.2
delhi,2021-02-28,22.6,16.4,30.1
delhi,2021-03-01,20.5,13.7,28.0
delhi,2021-03-02,20.9,14.4,28.4
delhi,2021-03-03,22.4,15.2,30.3
delhi,2021-03-04,22.7,13.7,31.4
delhi,2021-03-05,22.6,15.3,30.5
delhi,2021-03-06,23.3,15.9,31.2
delhi,2021-03-07,24.1,15.6,32.4
delhi,2021-03-08,24.5,18.4,31.0
delhi,2021-03-09,24.4,18.3,32.1
delhi,2021-03-10,24.0,18.7,31.0
delhi,2021-03-11,24.1,15.8,32.4
delhi,2021-03-12,23.2,17.8,29.5
delhi,2021-03-13,23.6,17.3,30.6
delhi,2021-03-14,23.3,16.3,30.8
delhi,2021-03-15,24.3,16.7,32.2
delhi,2021-03-16,24.6,16.8,32.5
delhi,2021-03-17,25.2,16.9,33.5
delhi,2021-03-18,25.0,16.4,32.8
