market_id,time,temperature_2m_mean,temperature_2m_min,temperature_2m_max
johannesburg,2021-01-01,21.2,16.0,27.1
johannesburg,2021-01-02,15.7,13.2,19.1
johannesburg,2021-01-03,18.6,12.2,24.4
johannesburg,2021-01-04,19.6,14.5,24.9
johannesburg,2021-01-05,20.8,15.9,26.1
johannesburg,2021-01-06,20.0,16.3,26.5
johannesburg,2021-01-07,18.8,15.3,23.3
johannesburg,2021-01-08,20.0,16.4,24.4
johannesburg,2021-01-09,20.6,15.4,25.3
johannesburg,2021-01-10,20.3,17.3,25.7
johannesburg,2021-01-11,18.7,15.9,22.2
johannesburg,2021-01-12,19.4,15.3,23.3
johannesburg,2021-01-13,19.3,16.7,23.8
johannesburg,2021-01-14,19.5,16.3,24.1
johannesburg,2021-01-15,19.9,16.1,24.4
johannesburg,2021-01-16,20.1,15.4,25.1
johannesburg,2021-01-17,20.4,14.1,26.5
johannesburg,2021-01-18,20.1,16.2,24.8
johannesburg,2021-01-19,19.4,13.2,25.4
johannesburg,2021-01-20,21.0,12.9,27.2
johannesburg,2021-01-21,20.9,14.1,27.6
johannesburg,2021-01-22,21.5,14.8,27.9
johannesburg,2021-01-23,22.1,14.0,28.9
johannesburg,2021-01-24,18.4,15.5,22.6
johannesburg,2021-01-25,16.2,14.5,18.6
johannesburg,2021-01-26,17.9,15.9,20.8
johannesburg,2021-01-27,18.6,16.1,23.0
johannesburg,2021-01-28,18.4,16.5,22.8
johannesburg,2021-01-29,17.6,16.1,21.7
johannesburg,2021-01-30,17.9,15.7,21.9
johannesburg,2021-01-31,18.6,15.7,23.3
johannesburg,2021-02-01,17.1,15.6,19.6
johannesburg,2021-02-02,13.7,11.3,16.2
johannesburg,2021-02-03,16.7,12.9,21.6
johannesburg,2021-02-04,17.4,14.9,20.8
johannesburg,2021-02-05,17.4,14.4,21.1
johannesburg,2021-02-06,16.8,14.9,19.3
johannesburg,2021-02-07,17.1,15.0,20.6
johannesburg,2021-02-08,18.0,14.1,22.8
johannesburg,2021-02-09,18.4,14.0,23.8
johannesburg,2021-02-10,18.7,14.1,24.3
johannesburg,2021-02-11,19.3,14.8,24.1
johannesburg,2021-02-12,18.3,13.2,23.1
johannesburg,2021-02-13,19.0,14.8,23.6
johannesburg,2021-02-14,19.5,15.6,23.8
johannesburg,2021-02-15,19.6,15.7,24.8
johannesburg,2021-02-16,16.8,12.9,22.4
johannesburg,2021-02-17,16.6,8.7,23.8
johannesburg,2021-02-18,20.2,14.7,25.8
johannesburg,2021-02-19,20.0,12.9,26.6
johannesburg,2021-02-20,20.3,13.0,26.7
johannesburg,2021-02-21,20.3,12.8,27.4
johannesburg,2021-02-22,18.7,15.9,21.4
johannesburg,2021-02-23,18.5,15.1,22.7
johannesburg,2021-02-24,17.4,14.9,21.7
johannesburg,2021-02-25,16.9,14.1,21.8
johannesburg,2021-02-26,16.2,12.7,21.2
johannesburg,2021-02-27,15.9,12.9,19.9
johannesburg,2021-02-28,15.9,12.1,20.9
johannesburg,2021-03-01,15.2,10.2,20.8
johannesburg,2021-03-02,15.9,10.4,20.9
johannesburg,2021-03-03,17.2,12.1,22.7
johannesburg,2021-03-04,18.5,11.4,24.8
johannesburg,2021-03-05,19.6,14.7,25.7
johannesburg,2021-03-06,17.4,12.6,23.4
johannesburg,2021-03-07,18.5,12.4,26.1
johannesburg,2021-03-08,19.4,13.4,25.2
johannesburg,2021-03-09,19.5,13.7,24.5
johannesburg,2021-03-10,20.3,15.0,26.8
johannesburg,2021-03-11,19.8,12.8,27.4
johannesburg,2021-03-12,19.4,14.2,25.1
johannesburg,2021-03-13,19.3,13.5,25.8
johannesburg,2021-03-14,18.2,12.3,24.6
johannesburg,2021-03-15,17.5,11.7,23.4
johannesburg,2021-03-16,18.5,12.0,24.3
johannesburg,2021-03-17,18.2,15.2,22.9
johannesburg,2021-03-18,18.1,13.9,23.1
johannesburg,2021-03-19,18.5,13.0,23.4
johannesburg,2021-03-20,17.7,13.7,23.2
johannesburg,2021-03-21,16.9,11.9,22.1
johannesburg,2021-03-22,16.3,12.1,22.0
johannesburg,2021-03-23,16.6,13.9,20.6
johannesburg,2021-03-24,14.9,13.2,17.4
johannesburg,2021-03-25,14.6,12.5,18.3
johannesburg,2021-03-26,15.4,9.8,21.0
johannesburg,2021-03-27,15.8,8.5,22.3
johannesburg,2021-03-28,15.2,11.2,20.8
johannesburg,2021-03-29,15.3,11.8,20.0
johannesburg,2021-03-30,15.6,10.1,21.2
johannesburg,2021-03-31,16.5,10.2,21.9
johannesburg,2021-04-01,16.8,10.8,23.0
johannesburg,2021-04-02,17.5,12.0,23.3
johannesburg,2021-04-03,18.2,11.2,25.3
johannesburg,2021-04-04,15.9,10.6,21.7
johannesburg,2021-04-05,17.7,10.2,24.7
johannesburg,2021-04-06,16.3,10.3,22.6
johannesburg,2021-04-07,15.7,12.1,20.9
johannesburg,2021-04-08,16.4,10.3,22.7
johannesburg,2021-04-09,17.6,11.0,24.6
johannesburg,2021-04-10,18.3,11.1,25.7
johannesburg,2021-04-11,19.2,12.9,27.0
johannesburg,2021-04-12,18.4,10.7,26.5
johannesburg,2021-04-13,18.1,11.0,25.6
johannesburg,2021-04-14,18.7,10.8,26.2
johannesburg,2021-04-15,18.9,12.4,25.7
johannesburg,2021-04-16,17.5,10.0,25.1
johannesburg,2021-04-17,13.0,9.9,17.5
johannesburg,2021-04-18,14.3,8.2,21.1
johannesburg,2021-04-19,15.6,7.5,23.3
johannesburg,2021-04-20,15.1,9.3,21.0
johannesburg,2021-04-21,14.8,8.1,20.6
johannesburg,2021-04-22,15.2,9.9,20.9
johannesburg,2021-04-23,14.8,9.6,21.1
johannesburg,2021-04-24,15.0,8.3,21.9
johannesburg,2021-04-25,14.1,5.9,22.4
johannesburg,2021-04-26,15.4,9.1,23.0
johannesburg,2021-04-27,16.0,7.9,24.1
johannesburg,2021-04-28,17.2,10.5,24.5
johannesburg,2021-04-29,16.5,10.6,22.6
johannesburg,2021-04-30,13.6,9.5,19.2
johannesburg,2021-05-01,10.8,7.0,15.8
johannesburg,2021-05-02,11.1,5.4,17.4
johannesburg,2021-05-03,11.6,5.0,18.4
johannesburg,2021-05-04,12.6,6.8,19.1
johannesburg,2021-05-05,13.2,6.1,19.6
johannesburg,2021-05-06,14.6,7.1,20.5
johannesburg,2021-05-07,13.5,8.6,18.2
johannesburg,2021-05-08,12.4,7.7,18.1
johannesburg,2021-05-09,11.2,5.3,17.7
johannesburg,2021-05-10,12.6,5.0,20.6
johannesburg,2021-05-11,13.0,5.4,21.6
johannesburg,2021-05-12,13.7,5.7,22.3
johannesburg,2021-05-13,14.0,5.9,22.4
johannesburg,2021-05-14,15.0,10.1,21.7
johannesburg,2021-05-15,13.3,5.1,21.1
johannesburg,2021-05-16,14.5,8.8,22.1
johannesburg,2021-05-17,11.6,4.6,18.5
johannesburg,2021-05-18,10.9,2.0,19.3
johannesburg,2021-05-19,12.7,6.9,20.4
johannesburg,2021-05-20,13.0,6.4,20.2
johannesburg,2021-05-21,12.6,8.2,18.4
johannesburg,2021-05-22,10.7,3.6,18.3
johannesburg,2021-05-23,10.3,6.3,16.4
johannesburg,2021-05-24,11.3,5.0,18.2
johannesburg,2021-05-25,11.4,4.5,18.6
johannesburg,2021-05-26,11.5,3.9,19.2
johannesburg,2021-05-27,12.2,4.7,20.4
johannesburg,2021-05-28,12.9,6.2,20.3
johannesburg,2021-05-29,11.7,4.8,19.3
johannesburg,2021-05-30,10.3,3.7,18.1
johannesburg,2021-05-31,9.8,4.6,15.2
johannesburg,2021-06-01,8.4,3.9,13.1
johannesburg,2021-06-02,6.3,1.1,12.7
johannesburg,2021-06-03,7.4,1.7,14.2
johannesburg,2021-06-04,6.3,1.9,12.1
johannesburg,2021-06-05,5.6,-1.7,13.2
johannesburg,2021-06-06,6.7,0.6,12.8
johannesburg,2021-06-07,7.3,3.2,12.4
johannesburg,2021-06-08,7.4,1.5,12.6
johannesburg,2021-06-09,7.9,3.8,13.4
johannesburg,2021-06-10,8.9,3.5,15.2
johannesburg,2021-06-11,10.8,6.3,16.6
johannesburg,2021-06-12,11.2,4.1,19.1
johannesburg,2021-06-13,11.2,4.1,19.4
johannesburg,2021-06-14,11.1,3.8,19.2
johannesburg,2021-06-15,10.9,2.5,18.5
johannesburg,2021-06-16,10.4,3.6,17.5
johannesburg,2021-06-17,11.6,4.0,19.5
johannesburg,2021-06-18,11.0,3.4,18.9
johannesburg,2021-06-19,10.4,6.6,15.4
johannesburg,2021-06-20,10.7,6.7,16.7
johannesburg,2021-06-21,9.2,2.6,16.2
johannesburg,2021-06-22,8.8,1.9,15.8
johannesburg,2021-06-23,9.1,1.5,16.1
johannesburg,2021-06-24,9.8,2.0,17.5
johannesburg,2021-06-25,10.8,3.1,19.0
johannesburg,2021-06-26,10.8,5.7,17.8
johannesburg,2021-06-27,9.9,2.6,19.2
johannesburg,2021-06-28,11.6,4.1,19.3
johannesburg,2021-06-29,14.2,7.8,21.6
johannesburg,2021-06-30,14.9,9.7,21.2
johannesburg,2021-07-01,11.3,6.3,17.4
johannesburg,2021-07-02,10.5,1.8,20.4
johannesburg,2021-07-03,12.1,5.0,20.8
johannesburg,2021-07-04,12.1,3.6,21.7
johannesburg,2021-07-05,10.1,1.8,18.9
johannesburg,2021-07-06,9.3,5.8,13.7
johannesburg,2021-07-07,9.3,2.6,16.4
johannesburg,2021-07-08,10.1,3.9,16.0
johannesburg,2021-07-09,11.0,4.3,18.2
johannesburg,2021-07-10,11.2,2.3,18.3
johannesburg,2021-07-11,11.6,5.3,19.2
johannesburg,2021-07-12,10.3,3.2,17.0
johannesburg,2021-07-13,6.7,1.0,10.8
johannesburg,2021-07-14,4.5,-2.6,12.5
johannesburg,2021-07-15,6.1,1.3,11.7
johannesburg,2021-07-16,7.0,0.2,12.7
johannesburg,2021-07-17,8.1,2.7,14.5
johannesburg,2021-07-18,7.2,0.2,15.7
johannesburg,2021-07-19,6.8,0.2,15.1
johannesburg,2021-07-20,7.2,0.2,14.6
johannesburg,2021-07-21,7.8,0.8,16.1
johannesburg,2021-07-22,3.3,-1.5,9.4
johannesburg,2021-07-23,4.2,-2.9,12.9
johannesburg,2021-07-24,4.6,-1.8,12.2
johannesburg,2021-07-25,4.6,-3.3,12.8
johannesburg,2021-07-26,6.7,-0.3,14.0
johannesburg,2021-07-27,6.7,-0.5,14.9
johannesburg,2021-07-28,7.8,0.6,15.8
johannesburg,2021-07-29,9.2,0.8,17.6
johannesburg,2021-07-30,9.8,2.5,18.6
johannesburg,2021-07-31,10.7,2.9,19.2
johannesburg,2021-08-01,11.5,2.8,20.1
johannesburg,2021-08-02,12.3,4.1,22.0
johannesburg,2021-08-03,10.7,4.6,17.7
johannesburg,2021-08-04,11.2,3.7,19.2
johannesburg,2021-08-05,12.0,3.5,20.4
johannesburg,2021-08-06,13.6,5.7,22.2
johannesburg,2021-08-07,12.3,2.7,21.5
johannesburg,2021-08-08,12.9,3.1,21.7
johannesburg,2021-08-09,15.2,9.2,23.4
johannesburg,2021-08-10,11.1,5.4,18.4
johannesburg,2021-08-11,11.0,4.7,18.0
johannesburg,2021-08-12,14.1,8.5,21.5
johannesburg,2021-08-13,8.7,4.5,16.5
johannesburg,2021-08-14,9.1,4.4,14.8
johannesburg,2021-08-15,9.6,6.3,14.7
johannesburg,2021-08-16,11.3,3.5,18.5
johannesburg,2021-08-17,12.5,5.7,20.0
johannesburg,2021-08-18,14.3,7.6,21.3
johannesburg,2021-08-19,12.6,3.3,20.9
johannesburg,2021-08-20,12.9,2.2,22.8
johannesburg,2021-08-21,13.7,7.4,20.9
johannesburg,2021-08-22,15.8,8.0,23.7
johannesburg,2021-08-23,14.9,8.4,21.9
johannesburg,2021-08-24,16.1,10.3,24.0
johannesburg,2021-08-25,16.1,7.4,24.2
johannesburg,2021-08-26,16.5,11.0,22.4
johannesburg,2021-08-27,18.0,11.7,24.7
johannesburg,2021-08-28,9.4,2.8,16.2
johannesburg,2021-08-29,7.7,-0.6,16.6
johannesburg,2021-08-30,11.3,4.0,19.6
johannesburg,2021-08-31,13.9,5.1,23.2
johannesburg,2021-09-01,14.7,3.7,24.8
johannesburg,2021-09-02,15.1,7.8,23.2
johannesburg,2021-09-03,17.7,8.3,26.1
johannesburg,2021-09-04,17.9,9.4,25.7
johannesburg,2021-09-05,17.8,11.0,25.4
johannesburg,2021-09-06,18.2,12.3,25.4
johannesburg,2021-09-07,16.0,9.5,23.4
johannesburg,2021-09-08,12.2,8.2,16.8
johannesburg,2021-09-09,14.4,6.4,21.9
johannesburg,2021-09-10,15.3,10.8,22.0
johannesburg,2021-09-11,15.1,6.2,24.4
johannesburg,2021-09-12,15.7,7.6,25.0
johannesburg,2021-09-13,16.5,7.2,25.4
johannesburg,2021-09-14,17.4,7.2,25.8
johannesburg,2021-09-15,20.5,12.7,28.0
johannesburg,2021-09-16,18.2,10.5,26.3
johannesburg,2021-09-17,14.1,7.2,22.1
johannesburg,2021-09-18,13.3,8.3,20.2
johannesburg,2021-09-19,14.6,6.7,22.6
johannesburg,2021-09-20,18.4,11.8,25.7
johannesburg,2021-09-21,16.3,7.8,24.8
johannesburg,2021-09-22,14.4,8.4,21.4
johannesburg,2021-09-23,15.0,7.0,22.1
johannesburg,2021-09-24,18.8,7.8,27.9
johannesburg,2021-09-25,20.7,10.2,29.0
johannesburg,2021-09-26,21.8,11.6,30.6
johannesburg,2021-09-27,20.1,13.6,27.0
johannesburg,2021-09-28,21.0,13.3,28.7
johannesburg,2021-09-29,20.6,14.5,28.3
johannesburg,2021-09-30,17.3,12.4,23.4
johannesburg,2021-10-01,14.4,11.6,18.2
johannesburg,2021-10-02,14.2,10.6,18.6
johannesburg,2021-10-03,14.0,5.4,21.9
johannesburg,2021-10-04,13.9,7.6,20.3
johannesburg,2021-10-05,15.5,10.4,22.3
johannesburg,2021-10-06,16.6,8.3,24.6
johannesburg,2021-10-07,17.1,11.4,24.7
johannesburg,2021-10-08,15.6,12.7,20.2
johannesburg,2021-10-09,17.7,10.4,25.0
johannesburg,2021-10-10,14.9,9.7,21.6
johannesburg,2021-10-11,13.5,5.1,21.4
johannesburg,2021-10-12,16.9,8.7,25.0
johannesburg,2021-10-13,19.2,9.5,27.2
johannesburg,2021-10-14,20.6,11.1,28.7
johannesburg,2021-10-15,21.6,11.8,29.5
johannesburg,2021-10-16,21.6,15.1,29.0
johannesburg,2021-10-17,16.8,10.2,24.0
johannesburg,2021-10-18,14.8,9.5,22.2
johannesburg,2021-10-19,13.1,8.8,17.8
