market_id,time,temperature_2m_mean,temperature_2m_min,temperature_2m_max
london,2021-01-01,1.0,-2.2,3.7
london,2021-01-02,2.3,-1.7,3.8
london,2021-01-03,1.2,-2.4,4.9
london,2021-01-04,2.9,1.6,4.3
london,2021-01-05,2.2,0.2,3.9
london,2021-01-06,2.3,-0.9,4.7
london,2021-01-07,-0.5,-2.4,2.7
london,2021-01-08,-0.1,-2.5,2.8
london,2021-01-09,1.1,-0.7,4.6
london,2021-01-10,0.5,-2.3,3.9
london,2021-01-11,4.8,1.1,7.8
london,2021-01-12,6.1,-0.3,9.0
london,2021-01-13,3.8,-1.5,7.6
london,2021-01-14,4.5,1.4,7.6
london,2021-01-15,0.9,-1.4,4.0
london,2021-01-16,3.6,0.6,6.9
london,2021-01-17,4.3,2.7,6.4
london,2021-01-18,4.2,1.1,7.2
london,2021-01-19,9.7,7.4,10.4
london,2021-01-20,9.6,9.1,10.1
london,2021-01-21,5.7,3.2,9.3
london,2021-01-22,2.7,-0.2,6.5
london,2021-01-23,1.0,-2.0,3.6
london,2021-01-24,-0.8,-4.1,2.3
london,2021-01-25,0.3,-3.0,4.2
london,2021-01-26,1.9,-2.5,5.5
london,2021-01-27,7.9,5.9,9.5
london,2021-01-28,9.9,7.4,11.7
london,2021-01-29,8.8,8.0,10.0
london,2021-01-30,4.6,2.3,7.9
london,2021-01-31,2.2,0.8,3.4
london,2021-02-01,3.4,2.4,4.6
london,2021-02-02,8.6,3.4,12.2
london,2021-02-03,7.8,4.4,9.2
london,2021-02-04,5.5,1.6,8.5
london,2021-02-05,7.0,4.7,9.6
london,2021-02-06,4.3,2.1,6.7
london,2021-02-07,1.0,-0.7,3.4
london,2021-02-08,-1.1,-2.3,0.1
london,2021-02-09,-1.4,-3.1,0.4
london,2021-02-10,-2.5,-5.7,0.4
london,2021-02-11,-3.7,-6.7,-0.7
london,2021-02-12,-2.3,-3.6,-0.1
london,2021-02-13,-2.5,-5.1,-0.1
london,2021-02-14,1.9,-0.5,4.5
london,2021-02-15,8.3,4.5,11.7
london,2021-02-16,8.8,7.3,9.8
london,2021-02-17,8.8,6.8,10.0
london,2021-02-18,8.0,4.5,10.6
london,2021-02-19,7.7,3.8,10.5
london,2021-02-20,11.8,10.0,14.1
london,2021-02-21,11.1,7.6,14.0
london,2021-02-22,9.3,6.7,12.0
london,2021-02-23,9.4,5.5,12.6
london,2021-02-24,12.4,10.2,14.7
london,2021-02-25,9.8,6.0,11.6
london,2021-02-26,5.6,0.3,10.7
london,2021-02-27,5.6,0.4,10.9
london,2021-02-28,4.4,0.5,8.7
london,2021-03-01,5.1,2.9,8.5
london,2021-03-02,5.0,1.1,10.1
london,2021-03-03,5.9,1.1,12.3
london,2021-03-04,5.1,3.6,6.2
london,2021-03-05,3.9,0.8,6.2
london,2021-03-06,2.2,-1.7,6.1
london,2021-03-07,1.9,-2.0,5.6
london,2021-03-08,3.8,-0.7,9.2
london,2021-03-09,5.5,0.3,11.6
london,2021-03-10,6.9,4.9,10.0
london,2021-03-11,9.2,5.3,11.1
london,2021-03-12,6.7,4.2,9.8
london,2021-03-13,6.2,3.4,9.3
london,2021-03-14,6.7,3.4,9.7
london,2021-03-15,8.6,6.6,11.5
london,2021-03-16,8.0,4.1,10.8
london,2021-03-17,6.6,2.9,9.4
london,2021-03-18,7.1,5.2,8.5
london,2021-03-19,6.9,4.0,8.9
london,2021-03-20,6.1,2.1,9.3
london,2021-03-21,7.9,6.4,10.1
london,2021-03-22,7.1,3.7,10.6
london,2021-03-23,6.4,2.7,10.1
london,2021-03-24,7.5,3.6,11.1
london,2021-03-25,7.6,1.4,12.4
london,2021-03-26,8.3,4.3,11.5
london,2021-03-27,6.9,2.9,10.5
london,2021-03-28,9.6,7.6,12.2
london,2021-03-29,10.9,5.9,16.2
london,2021-03-30,11.6,2.9,20.5
london,2021-03-31,13.4,5.3,21.2
london,2021-04-01,9.7,5.1,13.6
london,2021-04-02,6.3,3.9,9.6
london,2021-04-03,6.4,4.8,8.6
london,2021-04-04,7.6,3.1,13.5
london,2021-04-05,5.6,1.9,7.0
london,2021-04-06,2.5,-0.9,6.6
london,2021-04-07,2.5,-2.0,6.1
london,2021-04-08,5.2,-0.6,10.0
london,2021-04-09,7.7,3.8,11.8
london,2021-04-10,5.9,3.2,7.6
london,2021-04-11,4.0,-0.1,8.6
london,2021-04-12,3.8,-2.2,8.6
london,2021-04-13,5.4,-1.2,10.5
london,2021-04-14,5.8,-0.2,10.1
london,2021-04-15,4.6,-0.5,9.9
london,2021-04-16,5.2,-0.8,9.3
london,2021-04-17,5.9,-1.2,11.8
london,2021-04-18,7.4,0.9,12.7
london,2021-04-19,8.4,1.7,15.2
london,2021-04-20,9.7,3.2,15.5
london,2021-04-21,8.6,4.5,13.2
london,2021-04-22,7.0,2.5,11.7
london,2021-04-23,7.6,0.8,14.4
london,2021-04-24,8.9,3.9,14.4
london,2021-04-25,7.4,4.4,11.0
london,2021-04-26,6.8,3.8,11.1
london,2021-04-27,8.2,1.5,14.8
london,2021-04-28,8.7,4.1,13.5
london,2021-04-29,7.7,4.0,11.3
london,2021-04-30,7.0,0.4,12.1
london,2021-05-01,7.0,0.6,12.2
london,2021-05-02,8.0,2.3,12.6
london,2021-05-03,8.4,4.9,11.9
london,2021-05-04,9.7,6.3,13.1
london,2021-05-05,7.2,3.9,12.0
london,2021-05-06,7.2,1.9,11.1
london,2021-05-07,8.6,3.3,13.2
london,2021-05-08,11.1,5.3,15.8
london,2021-05-09,14.7,11.0,18.1
london,2021-05-10,12.6,9.8,15.6
london,2021-05-11,11.1,5.4,15.5
london,2021-05-12,11.7,7.8,14.5
london,2021-05-13,11.3,9.7,13.3
london,2021-05-14,10.1,7.5,13.1
london,2021-05-15,10.9,8.1,14.2
london,2021-05-16,10.7,6.8,14.4
london,2021-05-17,11.4,8.2,15.8
london,2021-05-18,11.0,6.1,15.6
london,2021-05-19,11.4,8.1,15.8
london,2021-05-20,10.1,5.5,12.9
london,2021-05-21,11.1,10.0,12.4
london,2021-05-22,11.1,8.9,14.0
london,2021-05-23,9.8,6.0,12.9
london,2021-05-24,10.5,6.9,13.8
london,2021-05-25,10.7,6.8,14.9
london,2021-05-26,11.0,6.2,14.8
london,2021-05-27,13.8,9.1,18.1
london,2021-05-28,13.8,8.9,18.1
london,2021-05-29,14.2,10.1,19.0
london,2021-05-30,12.1,7.3,17.8
london,2021-05-31,15.1,7.9,21.8
london,2021-06-01,17.5,11.1,23.4
london,2021-06-02,19.1,12.0,25.2
london,2021-06-03,18.7,15.0,22.6
london,2021-06-04,14.4,13.1,15.8
london,2021-06-05,16.7,12.2,21.5
london,2021-06-06,16.7,11.4,20.3
london,2021-06-07,16.9,11.7,21.2
london,2021-06-08,17.2,10.7,22.3
london,2021-06-09,17.8,11.0,23.4
london,2021-06-10,18.2,13.6,22.3
london,2021-06-11,18.9,15.3,22.6
london,2021-06-12,18.1,15.5,21.0
london,2021-06-13,19.3,11.6,26.0
london,2021-06-14,20.5,13.0,26.6
london,2021-06-15,18.6,14.4,23.1
london,2021-06-16,20.3,12.8,27.1
london,2021-06-17,19.5,17.2,22.5
london,2021-06-18,14.4,12.0,16.4
london,2021-06-19,14.1,11.5,17.4
london,2021-06-20,15.3,13.6,17.9
london,2021-06-21,12.5,11.6,13.7
london,2021-06-22,12.7,10.4,14.8
london,2021-06-23,14.1,6.9,19.7
london,2021-06-24,16.0,10.2,19.7
london,2021-06-25,16.5,13.4,20.0
london,2021-06-26,16.6,12.4,21.2
