market_id,time,temperature_2m_mean,temperature_2m_min,temperature_2m_max
moscow,2021-01-01,-1.1,-2.6,0.2
moscow,2021-01-02,-0.5,-1.5,0.6
moscow,2021-01-03,-0.7,-1.6,0.0
moscow,2021-01-04,-1.1,-2.2,-0.1
moscow,2021-01-05,-1.6,-2.6,-0.6
moscow,2021-01-06,-4.5,-6.0,-3.0
moscow,2021-01-07,-5.8,-6.5,-5.2
moscow,2021-01-08,-4.8,-6.8,-3.1
moscow,2021-01-09,-5.4,-6.1,-4.9
moscow,2021-01-10,-9.2,-11.8,-6.2
moscow,2021-01-11,-11.2,-12.4,-10.1
moscow,2021-01-12,-12.5,-13.7,-11.1
moscow,2021-01-13,-10.8,-13.9,-9.3
moscow,2021-01-14,-15.5,-17.0,-14.3
moscow,2021-01-15,-18.7,-20.8,-16.6
moscow,2021-01-16,-16.8,-18.2,-15.6
moscow,2021-01-17,-20.6,-24.3,-17.2
moscow,2021-01-18,-21.7,-24.6,-19.5
moscow,2021-01-19,-18.2,-20.7,-15.6
moscow,2021-01-20,-13.5,-16.2,-10.3
moscow,2021-01-21,-14.3,-17.4,-10.7
moscow,2021-01-22,-6.7,-13.9,-2.0
moscow,2021-01-23,-0.1,-2.6,1.1
moscow,2021-01-24,0.9,-0.3,2.8
moscow,2021-01-25,0.8,-0.5,3.0
moscow,2021-01-26,0.3,-0.4,1.2
moscow,2021-01-27,-0.2,-2.6,0.5
moscow,2021-01-28,-2.0,-5.5,0.3
moscow,2021-01-29,-0.5,-1.6,0.7
moscow,2021-01-30,-3.4,-4.3,-2.0
moscow,2021-01-31,-4.9,-5.6,-3.8
moscow,2021-02-01,-4.7,-9.4,-2.6
moscow,2021-02-02,-11.7,-14.6,-7.4
moscow,2021-02-03,-8.9,-13.4,-4.0
moscow,2021-02-04,-3.6,-6.2,-2.1
moscow,2021-02-05,-10.4,-13.7,-6.8
moscow,2021-02-06,-16.1,-19.5,-14.4
moscow,2021-02-07,-17.0,-20.8,-13.4
moscow,2021-02-08,-18.2,-22.9,-12.5
moscow,2021-02-09,-17.5,-22.5,-13.9
moscow,2021-02-10,-14.4,-17.0,-12.9
moscow,2021-02-11,-16.0,-18.7,-13.3
moscow,2021-02-12,-15.4,-15.9,-14.8
moscow,2021-02-13,-14.8,-16.1,-13.7
moscow,2021-02-14,-15.0,-16.5,-13.6
moscow,2021-02-15,-20.1,-22.5,-16.1
moscow,2021-02-16,-19.9,-26.0,-13.4
moscow,2021-02-17,-13.4,-16.3,-11.2
moscow,2021-02-18,-17.4,-19.8,-15.5
moscow,2021-02-19,-18.9,-22.4,-15.7
moscow,2021-02-20,-15.1,-20.5,-10.7
moscow,2021-02-21,-11.8,-15.5,-8.8
moscow,2021-02-22,-14.3,-21.3,-10.6
moscow,2021-02-23,-23.0,-27.0,-19.2
moscow,2021-02-24,-17.0,-22.2,-13.3
moscow,2021-02-25,-3.0,-13.1,2.9
moscow,2021-02-26,3.0,1.6,4.3
moscow,2021-02-27,-1.0,-3.4,2.3
moscow,2021-02-28,-1.7,-3.7,0.9
moscow,2021-03-01,-0.3,-2.4,1.9
moscow,2021-03-02,1.4,-0.6,2.6
moscow,2021-03-03,-1.3,-5.1,1.4
moscow,2021-03-04,0.1,-3.9,1.7
moscow,2021-03-05,-6.8,-10.5,-3.0
moscow,2021-03-06,-10.5,-15.3,-4.9
moscow,2021-03-07,-6.0,-12.4,-1.4
moscow,2021-03-08,-8.1,-12.7,-5.0
moscow,2021-03-09,-13.6,-16.1,-11.3
moscow,2021-03-10,-19.4,-23.4,-14.9
moscow,2021-03-11,-18.0,-23.9,-10.5
moscow,2021-03-12,-13.8,-20.9,-8.1
moscow,2021-03-13,-5.2,-8.3,-3.0
moscow,2021-03-14,0.4,-2.6,2.2
moscow,2021-03-15,1.6,-0.5,2.7
moscow,2021-03-16,0.0,-2.3,1.5
moscow,2021-03-17,-0.5,-2.4,1.5
moscow,2021-03-18,-0.6,-3.2,2.4
moscow,2021-03-19,-2.3,-5.1,0.9
moscow,2021-03-20,-4.2,-7.8,-1.3
moscow,2021-03-21,-4.1,-8.8,-1.4
moscow,2021-03-22,-1.0,-5.2,1.7
moscow,2021-03-23,-3.6,-8.1,0.4
moscow,2021-03-24,-3.2,-9.6,2.7
moscow,2021-03-25,-0.9,-6.7,5.6
moscow,2021-03-26,1.1,-3.3,5.2
moscow,2021-03-27,1.4,-2.9,5.6
moscow,2021-03-28,0.3,-5.9,7.0
moscow,2021-03-29,-1.5,-7.4,4.4
moscow,2021-03-30,-0.2,-5.9,4.6
moscow,2021-03-31,3.2,1.7,5.0
moscow,2021-04-01,3.9,1.4,6.2
moscow,2021-04-02,1.5,-3.0,4.6
moscow,2021-04-03,0.2,-4.5,5.5
moscow,2021-04-04,-0.5,-5.7,4.6
moscow,2021-04-05,1.0,-4.6,5.9
moscow,2021-04-06,4.1,-0.7,9.4
moscow,2021-04-07,4.1,-0.7,9.5
moscow,2021-04-08,2.0,-0.4,3.5
moscow,2021-04-09,0.8,-5.5,6.5
moscow,2021-04-10,2.8,-3.6,8.9
moscow,2021-04-11,5.7,-1.6,15.2
moscow,2021-04-12,8.3,0.3,14.6
moscow,2021-04-13,12.7,5.6,19.8
moscow,2021-04-14,13.5,7.5,19.2
moscow,2021-04-15,12.2,4.6,18.8
moscow,2021-04-16,11.2,7.2,15.3
moscow,2021-04-17,11.1,6.8,16.5
moscow,2021-04-18,8.9,4.7,13.5
moscow,2021-04-19,8.5,6.4,11.4
moscow,2021-04-20,5.5,3.1,9.4
moscow,2021-04-21,4.6,1.3,7.9
moscow,2021-04-22,8.7,2.9,14.1
moscow,2021-04-23,9.6,5.5,16.0
moscow,2021-04-24,3.9,2.1,5.4
moscow,2021-04-25,4.2,1.5,7.3
moscow,2021-04-26,4.5,0.2,8.3
moscow,2021-04-27,3.1,1.1,4.2
moscow,2021-04-28,5.3,0.9,9.4
moscow,2021-04-29,5.7,-0.4,10.5
moscow,2021-04-30,9.4,4.2,13.5
moscow,2021-05-01,9.0,4.0,12.4
moscow,2021-05-02,8.2,0.7,13.7
moscow,2021-05-03,11.3,6.1,18.0
moscow,2021-05-04,6.3,4.2,8.4
moscow,2021-05-05,8.1,3.7,12.9
moscow,2021-05-06,11.0,6.6,16.1
moscow,2021-05-07,9.6,4.9,14.2
moscow,2021-05-08,8.7,7.2,10.1
moscow,2021-05-09,7.3,4.9,9.9
moscow,2021-05-10,9.1,2.7,14.2
moscow,2021-05-11,12.2,3.0,19.4
moscow,2021-05-12,15.4,9.2,22.8
moscow,2021-05-13,13.9,8.8,18.2
moscow,2021-05-14,15.6,7.3,22.0
