market_id,time,temperature_2m_mean,temperature_2m_min,temperature_2m_max
sao_paulo,2021-01-01,21.6,19.6,24.9
sao_paulo,2021-01-02,20.2,18.6,22.3
sao_paulo,2021-01-03,19.5,17.6,22.5
sao_paulo,2021-01-04,21.0,17.7,25.5
sao_paulo,2021-01-05,23.8,18.7,28.8
sao_paulo,2021-01-06,25.4,21.4,29.8
sao_paulo,2021-01-07,24.7,21.5,29.2
sao_paulo,2021-01-08,22.8,21.3,24.6
sao_paulo,2021-01-09,22.2,20.2,25.4
sao_paulo,2021-01-10,22.5,20.5,25.8
sao_paulo,2021-01-11,23.3,20.8,26.7
sao_paulo,2021-01-12,23.4,21.6,26.7
sao_paulo,2021-01-13,23.0,21.4,25.5
sao_paulo,2021-01-14,22.3,20.5,25.6
sao_paulo,2021-01-15,21.6,19.6,25.9
sao_paulo,2021-01-16,23.0,19.0,26.3
sao_paulo,2021-01-17,24.1,22.0,28.3
sao_paulo,2021-01-18,24.7,21.3,28.9
sao_paulo,2021-01-19,22.5,20.9,25.0
sao_paulo,2021-01-20,22.6,20.3,27.3
sao_paulo,2021-01-21,22.5,20.3,27.0
sao_paulo,2021-01-22,22.6,19.9,27.1
sao_paulo,2021-01-23,22.6,19.7,27.1
sao_paulo,2021-01-24,22.2,20.0,26.7
sao_paulo,2021-01-25,23.4,19.3,29.4
sao_paulo,2021-01-26,24.0,20.4,29.9
sao_paulo,2021-01-27,25.5,20.4,30.4
sao_paulo,2021-01-28,25.4,20.9,30.1
sao_paulo,2021-01-29,25.5,20.5,30.1
sao_paulo,2021-01-30,26.1,20.7,31.4
sao_paulo,2021-01-31,26.2,22.0,31.0
sao_paulo,2021-02-01,24.4,21.4,28.4
sao_paulo,2021-02-02,24.2,20.5,29.2
sao_paulo,2021-02-03,24.2,20.4,28.7
sao_paulo,2021-02-04,26.0,21.3,30.9
sao_paulo,2021-02-05,21.4,19.3,22.7
sao_paulo,2021-02-06,20.3,18.1,23.7
sao_paulo,2021-02-07,19.6,17.2,23.1
sao_paulo,2021-02-08,19.4,15.5,23.0
sao_paulo,2021-02-09,19.4,15.7,23.6
sao_paulo,2021-02-10,20.0,16.9,24.4
sao_paulo,2021-02-11,20.6,18.2,24.0
sao_paulo,2021-02-12,21.3,17.8,25.0
sao_paulo,2021-02-13,20.9,18.7,22.9
sao_paulo,2021-02-14,22.3,17.8,27.2
sao_paulo,2021-02-15,22.6,19.0,26.8
sao_paulo,2021-02-16,23.5,18.7,28.0
sao_paulo,2021-02-17,23.1,19.3,27.9
sao_paulo,2021-02-18,22.7,18.1,26.8
sao_paulo,2021-02-19,22.2,19.2,27.2
sao_paulo,2021-02-20,21.5,18.5,25.7
sao_paulo,2021-02-21,21.3,18.8,25.0
sao_paulo,2021-02-22,21.8,19.3,25.6
