market_id,time,temperature_2m_mean,temperature_2m_min,temperature_2m_max
singapore,2021-01-01,24.7,24.2,25.9
singapore,2021-01-02,24.2,23.9,25.3
singapore,2021-01-03,24.2,23.7,25.1
singapore,2021-01-04,24.7,23.4,26.8
singapore,2021-01-05,25.7,24.0,28.5
singapore,2021-01-06,25.5,24.1,27.9
singapore,2021-01-07,25.2,23.9,27.9
singapore,2021-01-08,25.3,24.1,27.3
singapore,2021-01-09,25.0,24.1,26.6
singapore,2021-01-10,24.3,23.9,24.7
singapore,2021-01-11,24.7,23.9,26.2
singapore,2021-01-12,24.6,23.7,25.5
singapore,2021-01-13,24.9,23.9,27.0
singapore,2021-01-14,24.5,23.1,26.3
singapore,2021-01-15,25.3,24.0,27.6
singapore,2021-01-16,25.8,24.2,28.5
singapore,2021-01-17,25.8,24.6,28.0
singapore,2021-01-18,25.5,24.3,27.3
singapore,2021-01-19,25.5,23.8,27.9
singapore,2021-01-20,25.5,23.9,28.2
singapore,2021-01-21,25.5,23.8,28.1
singapore,2021-01-22,25.5,23.9,28.3
singapore,2021-01-23,25.5,24.2,27.9
singapore,2021-01-24,25.8,24.0,28.4
singapore,2021-01-25,25.9,24.4,28.6
singapore,2021-01-26,25.8,24.0,28.3
singapore,2021-01-27,25.6,23.9,29.0
singapore,2021-01-28,25.4,24.0,27.9
singapore,2021-01-29,25.5,23.5,28.3
singapore,2021-01-30,25.5,24.3,27.6
singapore,2021-01-31,25.3,23.5,28.2
singapore,2021-02-01,25.3,24.1,27.6
singapore,2021-02-02,25.6,24.3,27.9
singapore,2021-02-03,25.8,24.1,28.7
singapore,2021-02-04,25.3,24.0,27.3
singapore,2021-02-05,25.5,23.3,28.8
singapore,2021-02-06,26.1,24.0,29.1
singapore,2021-02-07,26.4,24.2,29.7
singapore,2021-02-08,26.3,24.7,29.3
singapore,2021-02-09,26.9,24.5,30.2
singapore,2021-02-10,26.5,24.6,29.5
singapore,2021-02-11,26.6,24.6,30.0
singapore,2021-02-12,26.5,24.9,29.5
singapore,2021-02-13,26.5,24.8,29.2
singapore,2021-02-14,26.1,24.8,28.2
singapore,2021-02-15,25.8,24.3,28.4
singapore,2021-02-16,25.9,23.7,29.1
singapore,2021-02-17,25.8,23.6,29.4
singapore,2021-02-18,26.0,23.7,29.7
singapore,2021-02-19,26.3,24.5,29.3
singapore,2021-02-20,26.4,24.6,29.4
singapore,2021-02-21,26.3,24.1,29.6
singapore,2021-02-22,26.5,24.1,30.2
singapore,2021-02-23,26.5,23.7,30.8
singapore,2021-02-24,26.4,23.8,30.3
singapore,2021-02-25,26.8,23.8,31.0
singapore,2021-02-26,27.0,24.0,30.8
singapore,2021-02-27,27.0,23.6,30.3
singapore,2021-02-28,27.3,24.6,30.5
singapore,2021-03-01,27.2,24.8,30.7
singapore,2021-03-02,27.3,24.8,31.3
