market_id,time,temperature_2m_mean,temperature_2m_min,temperature_2m_max
sydney,2021-01-01,18.9,17.4,20.0
sydney,2021-01-02,18.8,16.7,20.6
sydney,2021-01-03,21.5,19.5,24.3
sydney,2021-01-04,21.7,18.4,25.4
sydney,2021-01-05,21.7,19.2,24.4
sydney,2021-01-06,20.3,18.9,21.8
sydney,2021-01-07,19.4,18.3,20.7
sydney,2021-01-08,19.2,17.8,20.5
sydney,2021-01-09,20.2,17.8,22.5
sydney,2021-01-10,20.6,14.9,24.2
sydney,2021-01-11,21.4,17.0,24.7
sydney,2021-01-12,22.6,18.8,26.2
sydney,2021-01-13,22.7,19.2,25.7
sydney,2021-01-14,23.5,19.9,29.0
sydney,2021-01-15,23.2,19.9,26.3
sydney,2021-01-16,20.6,16.9,23.9
sydney,2021-01-17,20.5,17.1,23.5
sydney,2021-01-18,22.4,16.4,27.2
sydney,2021-01-19,20.4,19.4,21.1
sydney,2021-01-20,19.7,18.1,21.1
sydney,2021-01-21,21.0,16.7,24.4
sydney,2021-01-22,24.1,18.9,29.2
sydney,2021-01-23,25.0,21.1,27.8
sydney,2021-01-24,25.8,21.8,30.1
sydney,2021-01-25,24.7,21.5,29.0
sydney,2021-01-26,26.8,21.7,32.8
sydney,2021-01-27,22.0,20.2,24.1
sydney,2021-01-28,20.2,19.3,20.9
sydney,2021-01-29,20.5,19.8,21.2
sydney,2021-01-30,22.8,21.1,25.8
sydney,2021-01-31,21.7,20.5,22.8
sydney,2021-02-01,22.3,20.0,25.1
sydney,2021-02-02,20.2,18.0,21.6
sydney,2021-02-03,19.8,17.7,21.8
sydney,2021-02-04,22.1,18.6,25.1
sydney,2021-02-05,22.9,20.8,25.6
sydney,2021-02-06,22.4,21.3,24.4
sydney,2021-02-07,21.8,19.2,25.0
sydney,2021-02-08,20.4,19.2,21.7
sydney,2021-02-09,20.2,18.7,22.2
sydney,2021-02-10,19.7,17.8,21.5
sydney,2021-02-11,21.2,17.2,24.7
sydney,2021-02-12,23.3,19.3,28.1
sydney,2021-02-13,20.9,19.3,22.4
sydney,2021-02-14,20.0,18.1,22.1
sydney,2021-02-15,19.7,18.3,21.2
sydney,2021-02-16,20.4,19.1,22.5
sydney,2021-02-17,20.4,18.9,22.0
sydney,2021-02-18,21.2,19.5,22.9
sydney,2021-02-19,21.9,19.1,24.4
sydney,2021-02-20,22.4,19.5,25.4
sydney,2021-02-21,22.2,19.4,24.8
sydney,2021-02-22,22.1,20.1,25.5
sydney,2021-02-23,19.3,18.6,20.3
sydney,2021-02-24,19.6,17.5,21.2
sydney,2021-02-25,22.0,19.1,25.9
sydney,2021-02-26,21.5,18.5,24.8
sydney,2021-02-27,21.2,20.0,22.7
sydney,2021-02-28,22.2,19.8,25.3
sydney,2021-03-01,24.1,20.4,28.3
sydney,2021-03-02,20.0,18.5,21.0
sydney,2021-03-03,18.4,17.5,19.9
sydney,2021-03-04,20.4,15.4,25.4
sydney,2021-03-05,19.6,18.0,21.1
sydney,2021-03-06,19.3,17.8,21.1
sydney,2021-03-07,20.6,16.3,23.6
sydney,2021-03-08,23.4,19.5,28.9
sydney,2021-03-09,22.2,19.7,25.7
sydney,2021-03-10,21.3,19.7,22.9
sydney,2021-03-11,22.4,20.5,24.5
sydney,2021-03-12,22.4,20.6,25.0
sydney,2021-03-13,23.8,19.9,27.8
sydney,2021-03-14,19.1,16.3,23.8
sydney,2021-03-15,18.2,15.6,20.5
sydney,2021-03-16,18.9,17.0,20.4
sydney,2021-03-17,19.7,18.5,21.0
sydney,2021-03-18,19.7,19.1,20.5
sydney,2021-03-19,20.4,19.3,21.5
sydney,2021-03-20,20.1,19.2,20.9
sydney,2021-03-21,19.3,18.3,20.3
sydney,2021-03-22,19.0,18.5,19.9
