market_id,time,temperature_2m_mean,temperature_2m_min,temperature_2m_max
tokyo,2021-01-01,2.7,-1.5,7.2
tokyo,2021-01-02,2.5,-2.5,8.9
tokyo,2021-01-03,1.9,-1.0,6.1
tokyo,2021-01-04,4.2,-0.4,9.7
tokyo,2021-01-05,4.2,-0.0,8.8
tokyo,2021-01-06,3.9,2.4,5.4
tokyo,2021-01-07,5.1,0.7,10.2
tokyo,2021-01-08,0.7,-2.8,4.8
tokyo,2021-01-09,0.9,-2.4,5.9
tokyo,2021-01-10,0.3,-4.7,5.4
tokyo,2021-01-11,1.0,-3.1,5.0
tokyo,2021-01-12,2.9,-0.2,6.1
tokyo,2021-01-13,4.6,0.0,9.8
tokyo,2021-01-14,5.8,-0.3,13.0
tokyo,2021-01-15,4.2,1.0,6.6
tokyo,2021-01-16,8.0,2.2,16.5
tokyo,2021-01-17,4.2,2.1,5.5
tokyo,2021-01-18,2.6,0.8,6.8
tokyo,2021-01-19,2.6,-0.8,6.4
tokyo,2021-01-20,1.5,-2.4,6.3
tokyo,2021-01-21,4.7,-0.0,10.6
tokyo,2021-01-22,6.3,0.5,12.9
tokyo,2021-01-23,5.6,2.5,7.2
tokyo,2021-01-24,4.1,1.8,7.0
tokyo,2021-01-25,6.7,2.6,11.6
tokyo,2021-01-26,5.9,-0.2,11.7
tokyo,2021-01-27,8.8,5.0,13.5
tokyo,2021-01-28,3.8,2.2,5.8
tokyo,2021-01-29,3.7,-1.3,8.7
tokyo,2021-01-30,1.8,-2.4,7.3
tokyo,2021-01-31,3.1,-2.4,8.5
tokyo,2021-02-01,5.0,-0.6,10.2
tokyo,2021-02-02,8.8,3.3,14.5
tokyo,2021-02-03,4.6,1.6,8.3
tokyo,2021-02-04,4.6,-0.7,12.0
tokyo,2021-02-05,3.9,-2.0,9.7
tokyo,2021-02-06,6.5,2.0,12.8
tokyo,2021-02-07,7.0,1.4,13.9
tokyo,2021-02-08,3.8,0.8,7.7
tokyo,2021-02-09,2.5,-1.0,7.9
tokyo,2021-02-10,4.1,-2.3,10.1
tokyo,2021-02-11,5.5,-0.9,12.5
tokyo,2021-02-12,5.4,0.2,10.7
tokyo,2021-02-13,8.2,3.1,13.7
tokyo,2021-02-14,10.7,4.8,16.3
tokyo,2021-02-15,11.5,8.2,16.3
tokyo,2021-02-16,8.1,4.1,12.3
tokyo,2021-02-17,5.9,0.8,10.3
tokyo,2021-02-18,2.5,-1.2,7.1
tokyo,2021-02-19,4.0,-1.7,9.7
tokyo,2021-02-20,7.2,-0.8,14.7
tokyo,2021-02-21,10.5,3.5,17.6
tokyo,2021-02-22,11.2,4.5,18.4
tokyo,2021-02-23,8.4,3.8,12.4
tokyo,2021-02-24,4.7,2.1,8.6
tokyo,2021-02-25,4.8,-0.3,9.2
tokyo,2021-02-26,6.4,3.3,10.2
tokyo,2021-02-27,4.1,0.6,7.4
tokyo,2021-02-28,4.1,-2.2,10.3
tokyo,2021-03-01,10.3,3.5,16.3
tokyo,2021-03-02,13.1,6.4,17.9
tokyo,2021-03-03,5.9,3.1,9.6
tokyo,2021-03-04,6.8,1.7,11.5
tokyo,2021-03-05,10.5,6.0,14.2
